City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Faya,SA,18.3851,42.4509,63.12,58,49,4.21,scattered clouds
202,Kpandae,GH,8.4689,-0.0113,96.15,22,97,5.66,overcast clouds
203,Saldanha,ZA,-33.0117,17.9442,64.71,83,34,18.32,scattered clouds
204,Hovd,MN,48.0056,91.6419,16.02,56,0,2.8,clear sky
205,Nouadhibou,MR,20.931,-17.0347,70.72,72,64,18.05,broken clouds
206,Kahului,US,20.8947,-156.47,65.46,72,20,5.75,few clouds
207,Neftcala,AZ,39.3742,49.2472,52.05,77,0,8.19,clear sky
208,Rawson,AR,-43.3002,-65.1023,63.32,51,28,15.48,scattered clouds
209,Cockburn Town,TC,21.4612,-71.1419,76.64,77,99,13.15,overcast clouds
210,Marawi,PH,7.9986,124.2928,70.21,90,100,1.74,overcast clouds
211,Kirakira,SB,-10.4544,161.9205,78.96,84,88,2.04,overcast clouds
212,La Ceiba,HN,15.7597,-86.7822,81.95,100,90,4.25,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,82.78,69,97,18.28,overcast clouds
214,Ilo,PE,-17.6394,-71.3375,74.26,60,0,10.36,clear sky
215,Anandnagar,IN,27.1,83.2833,67.26,53,0,2.46,clear sky
216,Murashi,RU,59.3999,48.9615,30.99,98,100,8.19,light snow
217,Souillac,MU,-20.5167,57.5167,79.18,67,82,0.65,broken clouds
218,Aksu,CN,41.1231,80.2644,31.98,45,5,3.22,clear sky
219,Tilichiki,RU,60.4667,166.1,30.7,93,100,26.11,snow
220,Laje,BR,-10.1833,-40.9667,91.9,34,47,5.7,scattered clouds
221,Oranjemund,NA,-28.55,16.4333,66.15,76,5,12.1,clear sky
222,Fortuna,US,40.5982,-124.1573,48.54,100,1,8.05,clear sky
223,Barrow,US,71.2906,-156.7887,-16.58,83,75,0.0,broken clouds
224,Nanortalik,GL,60.1432,-45.2371,44.78,89,99,13.85,overcast clouds
225,Erenhot,CN,43.6475,111.9767,32.45,66,31,14.76,scattered clouds
226,Bera,BD,24.0833,89.6167,70.18,53,4,3.91,clear sky
227,Port-Gentil,GA,-0.7193,8.7815,80.83,79,74,13.04,light rain
228,Diffa,NE,13.3154,12.6113,88.23,11,6,9.95,clear sky
229,Kodiak,US,57.79,-152.4072,6.31,72,20,5.75,few clouds
230,Portage,US,41.1667,-81.1998,32.41,64,40,5.75,scattered clouds
231,Surami,GE,42.0243,43.5556,47.57,58,100,3.09,overcast clouds
232,Mazamari,PE,-11.3258,-74.5308,71.35,98,100,0.11,moderate rain
233,Nizhneangarsk,RU,55.7833,109.55,3.54,69,44,5.28,scattered clouds
234,Belleville,CA,44.1788,-77.3705,28.62,47,1,11.59,clear sky
235,Gerash,IR,27.6652,54.1371,68.63,34,0,6.4,clear sky
236,Eydhafushi,MV,5.1033,73.0708,81.23,77,100,10.45,overcast clouds
237,Ponta Do Sol,PT,32.6667,-17.1,65.03,66,17,6.17,few clouds
238,Litovko,RU,49.2361,135.1742,0.1,99,47,2.13,scattered clouds
239,Goderich,CA,43.7501,-81.7165,32.85,61,95,9.15,overcast clouds
240,Balikpapan,ID,-1.2675,116.8289,76.32,90,88,2.77,light rain
241,Lompoc,US,34.6391,-120.4579,52.52,44,1,8.05,clear sky
242,Babushkin,RU,51.7122,105.8647,17.37,76,100,8.32,overcast clouds
243,Georgetown,MY,5.4112,100.3354,78.73,94,20,0.0,few clouds
244,Loiza,PR,18.4313,-65.8802,84.2,61,40,9.22,scattered clouds
245,Moree,AU,-29.4667,149.85,68.02,83,90,6.91,overcast clouds
246,Isla Vista,US,34.4133,-119.861,58.98,22,41,2.26,scattered clouds
247,Novyy Nekouz,RU,57.9029,38.07,33.13,93,100,11.56,overcast clouds
248,Edinburg,GB,55.9521,-3.1965,35.08,60,20,9.22,few clouds
249,Antofagasta,CL,-23.65,-70.4,65.48,66,38,11.25,scattered clouds
250,Batagay,RU,67.6333,134.6333,-5.75,99,100,1.5,light snow
251,Penarroya-Pueblonuevo,ES,38.3,-5.2667,50.11,52,58,17.96,broken clouds
252,Ewa Beach,US,21.3156,-158.0072,73.35,82,40,3.44,scattered clouds
253,Warrington,GB,53.3925,-2.5802,39.31,45,20,13.8,few clouds
254,Luocheng,CN,29.3848,104.0286,51.24,87,86,1.19,overcast clouds
255,Yanam,IN,16.7333,82.2167,78.6,76,99,8.03,overcast clouds
256,Keetmanshoop,NA,-26.5833,18.1333,86.94,4,0,19.46,clear sky
257,Burley,US,42.5357,-113.7928,39.11,80,1,6.91,clear sky
258,Cedar City,US,37.6775,-113.0619,32.97,44,1,0.0,clear sky
259,Istok,XK,42.7808,20.4875,49.12,95,93,2.98,overcast clouds
260,North Bend,US,43.4065,-124.2243,53.51,100,90,6.91,overcast clouds
261,Berdigestyakh,RU,62.0989,126.6992,6.8,90,100,11.18,overcast clouds
262,Takoradi,GH,4.8845,-1.7554,83.77,67,64,8.63,broken clouds
263,Faanui,PF,-16.4833,-151.75,81.01,73,19,15.68,few clouds
